GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	v1_109	v1_109-Q	v1_110	v1_110-Q	v1_111	v1_111-Q	v1_119	v1_119-Q	v1_120	v1_120-Q	v1_121	v1_121-Q	v1_122	v1_122-Q
POD1	AthALTA0038293-1/3	chr1:25482968-25483016	0	chr1:25483295,25482968-25483016+25483064+25483071	Alt3	5.41	LOW,LOW,100.00,2=37=0,S@2.00,35.00	13.33	LOW,LOW,100.00,4=30=0,S@4.00,26.00	9.09	LOW,LOW,100.00,3=33=0,S@3.00,30.00	8.11	LOW,LOW,92.50,3=37=3,S@3.00,34.00	6.98	OK,OK,100.00,3=43=0,S@3.00,40.00	18.52	OK,OK,100.00,10=54=0,S@10.00,44.00	22.22	LOW,LOW,100.00,8=36=0,S@8.00,28.00
PHYLLO	AthALTA0037781-2/2	chr1:25899959-25900153	13	chr1:25899886,25899972+25899959-25900153	Alt3	50.72	OK,OK,100.00,41=82=0,S@41.59,40.41	69.49	SOK,SOK,100.00,73=106=0,S@73.66,32.34	71.19	SOK,SOK,100.00,96=136=0,S@96.82,39.18	67.31	OK,OK,100.00,60=90=0,S@60.58,29.42	72.96	SOK,SOK,100.00,76=105=0,S@76.61,28.39	72.62	OK,OK,100.00,67=93=0,S@67.54,25.46	74.34	SOK,SOK,100.00,76=103=0,S@76.57,26.43
	AthALTA0004548-3/3	chr1:26187193-26188058	11	chr1:26187108,26187204+26187195+26187193-26188058	Alt3	77.78	LOW,LOW,100.00,21=27=0,S@21.00,6.00	68.42	VLOW,VLOW,100.00,13=19=0,S@13.00,6.00	100.00	LOW,LOW,100.00,30=30=0,S@30.00,0.00	80.00	N,N,100.00,4=5=0,S@4.00,1.00	85.00	VLOW,VLOW,100.00,17=20=0,S@17.00,3.00	76.67	LOW,LOW,100.00,23=30=0,S@23.00,7.00	94.44	VLOW,VLOW,100.00,17=18=0,S@17.00,1.00
	AthALTA0004550-1/2	chr1:26188770-26188996	0	chr1:26188689,26188770+26188763-26188996	Alt3	64.67	LOW,LOW,100.00,16=25=0,S@16.17,8.83	97.22	LOW,LOW,100.00,34=35=0,S@34.03,0.97	94.10	LOW,LOW,100.00,31=33=0,S@31.05,1.95	88.30	LOW,LOW,100.00,22=25=0,S@22.07,2.92	97.97	OK,OK,100.00,47=48=0,S@47.03,0.97	93.72	LOW,LOW,100.00,29=31=0,S@29.05,1.95	100.00	LOW,LOW,100.00,31=31=0,S@31.00,0.00
	AthALTA0004569-2/3	chr1:26418180-26418288	8	chr1:26417966,26418188+26418180+26418165-26418288	Alt3	68.61	LOW,LOW,100.00,18=26=0,S@17.84,8.16	89.10	LOW,LOW,100.00,25=28=0,S@24.95,3.05	91.44	N,N,100.00,11=12=0,S@10.97,1.03	59.71	LOW,LOW,100.00,18=30=0,S@17.91,12.09	72.76	VLOW,VLOW,100.00,11=15=0,S@10.91,4.09	74.59	VLOW,VLOW,100.00,12=16=0,S@11.93,4.07	85.36	LOW,LOW,100.00,24=28=0,S@23.90,4.10
	AthALTA0004662-3/7	chr1:26856633-26856796	52	chr1:26856439,26856685+26856676+26856633+26856601+26856598+26856575+26856530-26856796	Alt3	62.59	OK,OK,100.00,28=43=0,S@26.91,16.09	92.90	OK,OK,100.00,43=46=0,S@42.73,3.27	93.89	OK,OK,100.00,49=52=0,S@48.82,3.18	80.88	OK,OK,100.00,33=40=0,S@32.35,7.65	82.19	OK,OK,100.00,36=43=0,S@35.34,7.66	82.96	OK,OK,100.00,43=51=0,S@42.31,8.69	86.65	OK,OK,100.00,36=41=0,S@35.53,5.47
	AthALTA0004663-1/2	chr1:26857127-26857292	0	chr1:26856796,26857127+26857122-26857292	Alt3	58.06	OK,OK,100.00,36=62=0,S@36.00,26.00	81.58	LOW,LOW,100.00,31=38=0,S@31.00,7.00	62.96	OK,OK,100.00,34=54=0,S@34.00,20.00	59.68	OK,OK,100.00,37=62=0,S@37.00,25.00	75.00	OK,OK,100.00,48=64=0,S@48.00,16.00	62.90	OK,OK,100.00,39=62=0,S@39.00,23.00	79.35	OK,OK,100.00,73=92=0,S@73.00,19.00
	AthALTA0004762-1/2	chr1:-27259044	0	chr1:27259221,-27259044+27259048	Alt3	5.88	LOW,LOW,100.00,2=34=0,S@2.00,32.00	9.26	OK,OK,100.00,5=54=0,S@5.00,49.00	8.33	VLOW,VLOW,100.00,2=24=0,S@2.00,22.00	52.38	VLOW,VLOW,100.00,11=21=0,S@11.00,10.00	14.63	OK,OK,100.00,6=41=0,S@6.00,35.00	21.13	OK,OK,100.00,15=71=0,S@15.00,56.00	29.73	LOW,LOW,100.00,11=37=0,S@11.00,26.00
	AthALTA0004929-2/3	chr1:27800955-27801029	8	chr1:27801173,27800955-27801021+27801029+27801096	Alt3	82.46	OK,OK,100.00,47=57=0,S@47.00,10.00	96.08	OK,OK,100.00,49=51=0,S@49.00,2.00	97.06	LOW,LOW,100.00,33=34=0,S@33.00,1.00	92.86	OK,OK,100.00,39=42=0,S@39.00,3.00	82.09	OK,OK,100.00,55=67=0,S@55.00,12.00	88.75	OK,OK,100.00,71=80=0,S@71.00,9.00	97.87	OK,OK,100.00,46=47=0,S@46.00,1.00
ATL24	AthALTA0023345-2/7	chr1:27967314-27967386	5	chr1:27966993,27967319+27967314+27967295+27967277+27967141+27967101+27967083-27967386	Alt3	83.87	LOW,LOW,100.00,26=31=0,S@26.00,5.00	100.00	VLOW,VLOW,100.00,24=24=0,S@24.00,0.00	92.50	OK,OK,100.00,37=40=0,S@37.00,3.00	100.00	OK,OK,100.00,58=58=0,S@58.00,0.00	98.68	OK,OK,100.00,75=76=0,S@75.00,1.00	98.44	OK,OK,100.00,63=64=0,S@63.00,1.00	100.00	OK,OK,100.00,42=42=0,S@42.00,0.00
	AthALTA0004991-1/3	chr1:-28204738	0	chr1:28204858,-28204738+28204756+28204774	Alt3	0.00	VLOW,VLOW,100.00,0=15=0,S@0.00,15.00	4.35	VLOW,VLOW,100.00,1=23=0,S@1.00,22.00	25.00	LOW,LOW,100.00,7=28=0,S@7.00,21.00	20.93	OK,OK,100.00,9=43=0,S@9.00,34.00	10.71	LOW,LOW,100.00,3=28=0,S@3.00,25.00	39.53	OK,OK,100.00,17=43=0,S@17.00,26.00	21.05	VLOW,VLOW,100.00,4=19=0,S@4.00,15.00
AUL1	AthALTA0023787-1/2	chr1:28265181-28265229	0	chr1:28265089,28265181+28265178-28265229	Alt3	10.29	OK,OK,100.00,7=68=0,S@7.00,61.00	12.90	OK,OK,100.00,8=62=0,S@8.00,54.00	27.27	OK,OK,100.00,12=44=0,S@12.00,32.00	22.89	OK,OK,100.00,19=83=0,S@19.00,64.00	19.27	SOK,SOK,100.00,21=109=0,S@21.00,88.00	19.72	OK,OK,100.00,14=71=0,S@14.00,57.00	39.71	OK,OK,100.00,27=68=0,S@27.00,41.00
VPS35B	AthALTA0046014-1/2	chr1:28482653-28482709	0	chr1:28482892,28482653-28482709+28482774	Alt3	38.46	OK,OK,100.00,20=52=0,S@20.00,32.00	50.00	OK,OK,100.00,22=44=0,S@22.00,22.00	62.00	OK,OK,100.00,31=50=0,S@31.00,19.00	70.73	OK,OK,100.00,29=41=0,S@29.00,12.00	45.61	OK,OK,100.00,26=57=0,S@26.00,31.00	46.43	OK,OK,100.00,26=56=0,S@26.00,30.00	58.18	OK,OK,100.00,32=55=0,S@32.00,23.00
CPK29	AthALTA0026639-2/4	chr1:28538991-28539134	6	chr1:28538541,28538997+28538991+28538680+28538673-28539134	Alt3	51.47	VLOW,VLOW,100.00,9=18=0,S@9.26,8.74	100.00	LOW,LOW,100.00,25=25=0,S@25.00,0.00	96.37	LOW,LOW,100.00,25=26=0,S@25.06,0.94	80.92	LOW,LOW,100.00,20=25=0,S@20.23,4.77	74.06	OK,OK,100.00,35=48=0,S@35.55,12.45	77.78	OK,OK,100.00,33=43=0,S@33.45,9.55	77.36	LOW,LOW,100.00,29=38=0,S@29.40,8.60
	AthALTA0005079-2/2	chr1:28620706-28621149	7	chr1:28621403,28620706-28621142+28621149	Alt3	59.21	OK,OK,100.00,45=76=0,S@45.00,31.00	83.33	OK,OK,100.00,50=60=0,S@50.00,10.00	87.32	OK,OK,100.00,62=71=0,S@62.00,9.00	83.82	OK,OK,100.00,57=68=0,S@57.00,11.00	86.05	OK,OK,100.00,74=86=0,S@74.00,12.00	72.97	OK,OK,100.00,54=74=0,S@54.00,20.00	82.05	OK,OK,100.00,64=78=0,S@64.00,14.00
	AthALTA0005103-3/4	chr1:28729687-28729840	78	chr1:28729525,28729765+28729694+28729687+28729619-28729840	Alt3	16.06	SOK,SOK,100.00,22=137=0,S@22.00,115.00	18.40	SOK,SOK,100.00,23=125=0,S@23.00,102.00	26.71	SOK,SOK,100.00,43=161=0,S@43.00,118.00	34.78	OK,OK,100.00,32=92=0,S@32.00,60.00	20.00	SOK,SOK,99.01,20=100=1,S@20.00,80.00	32.61	OK,OK,100.00,30=92=0,S@30.00,62.00	31.18	OK,OK,100.00,29=93=0,S@29.00,64.00
PIN6	AthALTA0037865-1/2	chr1:28972900-28973155	0	chr1:28972182,28972900+28972894-28973155	Alt3	13.33	VLOW,VLOW,100.00,2=15=0,S@2.00,13.00	18.18	VLOW,VLOW,100.00,4=22=0,S@4.00,18.00	12.50	VLOW,VLOW,100.00,2=16=0,S@2.00,14.00	42.31	LOW,LOW,96.30,11=26=1,S@11.00,15.00	16.00	LOW,LOW,100.00,4=25=0,S@4.00,21.00	19.35	LOW,LOW,100.00,6=31=0,S@6.00,25.00	30.77	LOW,LOW,100.00,8=26=0,S@8.00,18.00
	AthALTA0005214-2/2	chr1:29168104-29168262	3	chr1:29168418,29168104-29168259+29168262	Alt3	81.40	OK,OK,100.00,35=43=0,S@35.00,8.00	75.00	OK,OK,100.00,30=40=0,S@30.00,10.00	69.70	LOW,LOW,100.00,23=33=0,S@23.00,10.00	88.24	OK,OK,100.00,45=51=0,S@45.00,6.00	91.49	OK,OK,100.00,43=47=0,S@43.00,4.00	95.38	OK,OK,100.00,62=65=0,S@62.00,3.00	97.50	OK,OK,100.00,39=40=0,S@39.00,1.00
	AthALTA0005273-3/3	chr1:29415745-29415921	6	chr1:29415640,29415751+29415748+29415745-29415921	Alt3	58.82	VLOW,VLOW,100.00,10=17=0,S@10.00,7.00	96.97	LOW,LOW,100.00,32=33=0,S@32.00,1.00	90.91	LOW,LOW,100.00,30=33=0,S@30.00,3.00	93.88	OK,OK,100.00,46=49=0,S@46.00,3.00	96.00	LOW,LOW,100.00,24=25=0,S@24.00,1.00	93.94	LOW,LOW,100.00,31=33=0,S@31.00,2.00	84.62	LOW,LOW,100.00,22=26=0,S@22.00,4.00
	AthALTA0005328-2/2	chr1:29679877-29680014	35	chr1:29680106,29679877-29679979+29680014	Alt3	58.58	VLOW,VLOW,100.00,12=20=0,S@11.72,8.28	97.59	OK,OK,100.00,43=44=0,S@42.94,1.06	90.69	OK,OK,100.00,62=68=0,S@61.67,6.33	92.18	LOW,LOW,100.00,25=27=0,S@24.89,2.11	84.23	OK,OK,100.00,34=40=0,S@33.69,6.31	86.42	LOW,LOW,100.00,27=31=0,S@26.79,4.21	96.59	LOW,LOW,100.00,30=31=0,S@29.94,1.06
	AthALTA0005458-1/2	chr1:30154383-30154461	0	chr1:30154540,30154383-30154461+30154464	Alt3	0.00	OK,OK,100.00,0=44=0,S@0.00,44.00	4.00	OK,OK,100.00,2=50=0,S@2.00,48.00	2.86	LOW,LOW,100.00,1=35=0,S@1.00,34.00	0.00	OK,OK,100.00,0=42=0,S@0.00,42.00	0.00	LOW,LOW,100.00,0=33=0,S@0.00,33.00	0.00	OK,OK,100.00,0=67=0,S@0.00,67.00	16.67	LOW,LOW,100.00,6=36=0,S@6.00,30.00
PSF1	AthALTA0038955-3/3	chr1:30159412-30159550	28	chr1:30159332,30159440+30159436+30159412-30159550	Alt3	4.32	OK,OK,100.00,2=45=0,C1@1.94,43.06	6.54	OK,OK,100.00,3=45=0,C2@2.94,42.06	0.00	OK,OK,100.00,0=47=0,C2@0.00,47.00	0.00	LOW,LOW,100.00,0=37=0,C1@0.00,37.00	2.28	OK,OK,100.00,1=43=0,C1@0.98,42.02	4.20	VLOW,VLOW,100.00,1=23=0,C1@0.97,22.03	23.95	OK,OK,100.00,10=41=0,C2@9.82,31.18
RTL1	AthALTA0041134-4/4	chr1:30315441-	41	chr1:30315357,30315482+30315473+30315471+30315441-	Alt3	67.33	SOK,SOK,100.00,68=101=0,S@68.00,33.00	71.43	OK,OK,100.00,50=70=0,S@50.00,20.00	88.78	OK,OK,100.00,87=98=0,S@87.00,11.00	79.29	SOK,SOK,100.00,111=140=0,S@111.01,28.99	72.00	SOK,SOK,100.00,72=100=0,S@72.00,28.00	80.12	SOK,SOK,100.00,129=161=0,S@128.99,32.01	87.50	SOK,SOK,100.00,112=128=0,S@112.00,16.00
	AthALTA0005528-1/2	chr2:94193-94344	0	chr2:94495,94193-94344+94347	Alt3	10.53	LOW,LOW,100.00,4=38=0,S@4.00,34.00	22.22	LOW,LOW,100.00,8=36=0,S@8.00,28.00	0.00	N,N,100.00,0=2=0,S@0.00,2.00	42.86	OK,OK,100.00,18=42=0,S@18.00,24.00	48.39	LOW,LOW,100.00,15=31=0,S@15.00,16.00	21.15	OK,OK,100.00,11=52=0,S@11.00,41.00	28.95	LOW,LOW,97.44,11=38=1,S@11.00,27.00
	AthALTA0005605-3/4	chr2:633617-633791	40	chr2:633524,633657+633628+633617+633594-633791	Alt3	10.26	OK,OK,100.00,8=78=0,S@8.00,70.00	27.59	OK,OK,100.00,16=58=0,S@16.00,42.00	39.02	OK,OK,100.00,16=41=0,S@16.00,25.00	21.10	SOK,SOK,100.00,23=109=0,S@23.00,86.00	26.97	OK,OK,100.00,24=89=0,S@24.00,65.00	24.71	OK,OK,100.00,21=85=0,S@21.00,64.00	26.98	OK,OK,100.00,17=63=0,S@17.00,46.00
	AthALTA0005621-2/2	chr2:777267-777318	5	chr2:777401,777267-777313+777318	Alt3	56.67	LOW,LOW,100.00,17=30=0,S@17.00,13.00	80.73	LOW,LOW,100.00,28=35=0,C1@28.26,6.74	73.66	LOW,LOW,100.00,19=27=0,C1@19.89,7.11	92.64	OK,OK,100.00,49=53=0,S@49.10,3.90	81.85	OK,OK,100.00,53=64=0,S@52.38,11.62	92.00	OK,OK,100.00,46=50=0,S@46.00,4.00	80.00	OK,OK,100.00,36=45=0,S@36.00,9.00
GRP3S	AthALTA0031124-4/6	chr2:1967681-1968037	43	chr2:1967635,1967724+1967717+1967696+1967681+1967678+1967663-1968037	Alt3	67.57	VLOW,VLOW,100.00,10=16=0,S@10.81,5.19	91.84	N,N,100.00,9=10=0,S@9.18,0.82	100.00	N,N,100.00,1=1=0,S@1.00,0.00	100.00	N,N,100.00,5=5=0,S@5.00,0.00	71.76	N,N,100.00,4=6=0,S@4.31,1.69	100.00	N,N,100.00,2=2=0,S@2.00,0.00	90.02	VLOW,LOW,100.00,21=24=0,S@21.60,2.40
	AthALTA0005821-2/4	chr2:5390960-5391061	54	chr2:5390455,5391014+5390960+5390948+5390912-5391061	Alt3	6.33	VLOW,VLOW,100.00,1=15=0,S@0.95,14.05	9.54	N,N,100.00,1=10=0,S@0.95,9.05	9.98	VLOW,VLOW,100.00,2=19=0,S@1.90,17.10	14.77	N,N,100.00,2=13=0,S@1.92,11.08	12.72	VLOW,VLOW,100.00,2=15=0,C1@1.91,13.09	19.19	N,N,100.00,2=10=0,S@1.92,8.08	43.00	VLOW,VLOW,100.00,8=18=0,S@7.74,10.26
MCM9	AthALTA0034004-2/2	chr2:5910123-5910320	23	chr2:5910018,5910146+5910123-5910320	Alt3	0.00	VLOW,VLOW,100.00,0=19=0,S@0.00,19.00	29.17	VLOW,VLOW,100.00,7=24=0,S@7.00,17.00	7.69	N,N,100.00,1=13=0,S@1.00,12.00	9.09	VLOW,VLOW,100.00,2=22=0,S@2.00,20.00	7.69	N,N,100.00,1=13=0,S@1.00,12.00	0.00	VLOW,VLOW,100.00,0=19=0,S@0.00,19.00	17.65	VLOW,VLOW,100.00,3=17=0,S@3.00,14.00
DRP3B	AthALTA0028294-1/2	chr2:5955419-5955457	0	chr2:5955612,5955419-5955457+5955461	Alt3	0.00	VLOW,SOK,100.00,0=17=0,S@0.00,17.00	58.82	VLOW,SOK,100.00,5=19=0,C3@11.18,7.82	71.43	N,SOK,100.00,5=13=0,C3@9.29,3.71	58.82	VLOW,SOK,100.00,5=19=0,C3@11.18,7.82	57.14	VLOW,SOK,99.59,4=16=1,C3@9.14,6.86	0.00	VLOW,SOK,100.00,0=20=0,S@0.00,20.00	64.86	VLOW,SOK,100.00,6=19=0,C3@12.32,6.68
	AthALTA0005893-1/2	chr2:7108239-7108308	0	chr2:7108412,7108239-7108308+7108333	Alt3	70.83	OK,OK,100.00,30=42=0,S@29.75,12.25	75.47	LOW,LOW,100.00,19=25=0,S@18.87,6.13	78.08	N,N,100.00,11=14=0,S@10.93,3.07	73.63	LOW,LOW,100.00,23=31=0,S@22.83,8.17	64.15	OK,OK,100.00,35=54=0,S@34.64,19.36	86.14	LOW,LOW,100.00,32=37=0,S@31.87,5.13	86.85	LOW,LOW,100.00,34=39=0,S@33.87,5.13
	AthALTA0005940-2/3	chr2:7385912-7386116	114	chr2:7385771,7386026+7385912+7385881-7386116	Alt3	15.90	VLOW,VLOW,100.00,3=17=0,S@2.70,14.30	21.79	LOW,LOW,100.00,6=25=0,S@5.45,19.55	17.48	LOW,LOW,100.00,6=31=0,S@5.42,25.58	19.69	VLOW,LOW,100.00,5=23=0,S@4.53,18.47	18.62	LOW,LOW,100.00,7=34=0,S@6.33,27.67	6.85	N,VLOW,100.00,1=13=0,S@0.89,12.11	35.96	LOW,OK,100.00,14=36=0,S@12.95,23.05
	AthALTA0005947-1/2	chr2:7489048-7489375	0	chr2:7489693,7489048-7489375+7489378	Alt3	32.99	SOK,SOK,100.00,33=102=0,S@33.65,68.35	37.47	SOK,SOK,100.00,39=106=0,S@39.72,66.28	48.72	SOK,SOK,100.00,60=125=0,S@60.90,64.10	50.11	OK,OK,100.00,40=81=0,S@40.59,40.41	52.51	SOK,SOK,100.00,58=112=0,S@58.81,53.19	40.52	SOK,SOK,100.00,45=113=0,S@45.79,67.21	50.72	SOK,SOK,100.00,59=118=0,S@59.85,58.15
NFD6	AthALTA0035502-2/2	chr2:8866093-8866403	255	chr2:8865779,8866348+8866093-8866403	Alt3	12.13	LOW,LOW,34.01,4=28=53,S@3.40,24.60	28.38	LOW,LOW,36.45,11=34=56,S@9.65,24.35	25.66	OK,OK,39.48,20=68=99,S@17.45,50.55	18.90	OK,OK,37.42,9=41=66,S@7.75,33.25	24.06	OK,OK,32.98,13=47=91,S@11.31,35.69	28.05	OK,OK,54.16,16=50=40,S@14.03,35.98	27.23	OK,OK,43.65,14=45=55,S@12.25,32.75
	AthALTA0006332-3/3	chr2:9626335-9626496	22	chr2:9626544,9626335-9626474+9626479+9626496	Alt3	3.24	LOW,LOW,100.00,1=32=0,C1@1.04,30.96	0.00	OK,OK,100.00,0=44=0,S@0.00,44.00	14.00	OK,OK,100.00,6=44=0,S@6.16,37.84	17.10	OK,OK,100.00,8=48=0,S@8.21,39.79	11.66	OK,OK,100.00,6=53=0,S@6.18,46.82	26.92	LOW,OK,100.00,10=38=0,S@10.23,27.77	18.64	OK,OK,100.00,8=44=0,S@8.20,35.80
	AthALTA0006333-5/5	chr2:9625978-9626124	112	chr2:9626204,9625978-9626012+9626090+9626093+9626101+9626124	Alt3	20.51	LOW,LOW,100.00,8=39=0,S@8.00,31.00	31.22	OK,OK,100.00,16=51=0,S@15.92,35.08	33.82	OK,OK,100.00,23=68=0,S@23.00,45.00	31.75	OK,OK,100.00,20=63=0,S@20.00,43.00	34.04	OK,OK,100.00,24=70=0,S@23.83,46.17	45.16	OK,OK,100.00,28=62=0,S@28.00,34.00	36.11	OK,OK,100.00,26=72=0,S@26.00,46.00
CNGC6	AthALTA0026442-3/4	chr2:10203946-10204040	54	chr2:10204388,10203946-10203986+10204031+10204040+10204043	Alt3	35.42	OK,OK,100.00,17=48=0,S@17.00,31.00	62.16	LOW,LOW,97.21,23=37=1,S@23.00,14.00	76.47	LOW,LOW,100.00,26=34=0,S@26.00,8.00	40.48	OK,OK,100.00,17=42=0,S@17.00,25.00	51.43	LOW,LOW,100.00,18=35=0,S@18.00,17.00	46.43	LOW,LOW,100.00,13=28=0,S@13.00,15.00	58.06	LOW,LOW,100.00,18=31=0,S@18.00,13.00
	AthALTA0006459-4/4	chr2:10383144-10383400	24	chr2:10383059,10383168+10383163+10383151+10383144-10383400	Alt3	0.00	LOW,LOW,100.00,0=26=0,S@0.00,26.00	0.00	VLOW,LOW,100.00,0=24=0,S@0.00,24.00	0.00	N,N,100.00,0=2=0,S@0.00,2.00	3.85	LOW,LOW,100.00,1=26=0,S@1.00,25.00	0.00	N,N,100.00,0=10=0,S@0.00,10.00	4.55	VLOW,VLOW,100.00,1=22=0,S@1.00,21.00	25.00	VLOW,VLOW,100.00,4=16=0,S@4.00,12.00
Phox1	AthALTA0039348-2/2	chr2:10765910-10766074	15	chr2:10766144,10765910-10766059+10766074	Alt3	68.00	LOW,LOW,100.00,17=25=0,S@17.00,8.00	81.82	VLOW,VLOW,100.00,18=22=0,S@18.00,4.00	70.97	LOW,LOW,100.00,22=31=0,S@22.00,9.00	56.00	LOW,LOW,100.00,14=25=0,S@14.00,11.00	80.85	OK,OK,100.00,38=47=0,S@38.00,9.00	83.33	OK,OK,100.00,55=66=0,S@55.00,11.00	86.05	OK,OK,100.00,37=43=0,S@37.00,6.00
PAPS2	AthALTA0036888-1/2	chr2:-11026078	0	chr2:11026196,-11026078+11026081	Alt3	6.87	LOW,LOW,100.00,2=29=0,C1@1.99,27.01	30.81	OK,OK,100.00,17=55=0,C1@16.95,38.05	15.95	LOW,LOW,100.00,6=37=0,C2@5.90,31.10	35.34	OK,OK,100.00,23=65=0,C1@22.97,42.03	20.49	OK,OK,100.00,13=63=0,C1@12.91,50.09	23.04	OK,OK,100.00,20=86=0,C1@19.81,66.19	29.47	OK,OK,100.00,18=61=0,C1@17.98,43.02
PEX10	AthALTA0037427-2/2	chr2:11218958-11219104	13	chr2:11219181,11218958-11219091+11219104	Alt3	16.49	LOW,LOW,100.00,5=32=0,S@5.28,26.72	37.87	OK,OK,100.00,16=44=0,S@16.66,27.34	40.94	LOW,LOW,100.00,13=33=0,S@13.51,19.49	19.93	LOW,OK,100.00,7=37=0,S@7.37,29.63	43.58	OK,OK,100.00,21=50=0,S@21.79,28.21	31.57	OK,OK,100.00,16=53=0,S@16.73,36.27	42.75	OK,OK,100.00,21=51=0,S@21.80,29.20
IPT2	AthALTA0032429-1/2	chr2:11826415-11826807	0	chr2:11826245,11826415+11826410-11826807	Alt3	23.33	LOW,LOW,100.00,7=30=0,S@7.00,23.00	60.00	LOW,LOW,100.00,21=35=0,S@21.00,14.00	66.67	LOW,LOW,100.00,20=30=0,S@20.00,10.00	40.00	VLOW,VLOW,100.00,8=20=0,S@8.00,12.00	48.94	OK,OK,100.00,23=47=0,S@23.00,24.00	44.44	VLOW,VLOW,100.00,8=18=0,S@8.00,10.00	50.00	LOW,LOW,100.00,14=28=0,S@14.00,14.00
KINB3	AthALTA0032962-3/3	chr2:11951696-11951777	25	chr2:11952043,11951696-11951752+11951763+11951777	Alt3	77.19	OK,OK,100.00,44=57=0,S@44.00,13.00	94.55	OK,OK,100.00,52=55=0,S@52.00,3.00	95.65	OK,OK,100.00,44=46=0,C1@44.00,2.00	95.71	OK,OK,100.00,67=70=0,C1@67.00,3.00	96.10	OK,OK,100.00,74=77=0,S@74.00,3.00	92.86	OK,OK,100.00,65=70=0,S@65.00,5.00	93.75	OK,OK,100.00,45=48=0,S@45.00,3.00
	AthALTA0006775-1/2	chr2:12040863-	0	chr2:12040782,12040863+12040856-	Alt3	0.00	LOW,LOW,100.00,0=26=0,S@0.00,26.00	20.00	LOW,LOW,100.00,6=30=0,S@6.00,24.00	8.33	VLOW,VLOW,100.00,2=24=0,S@2.00,22.00	2.38	OK,OK,100.00,1=42=0,S@1.00,41.00	17.24	OK,OK,100.00,10=58=0,S@10.00,48.00	9.09	OK,OK,100.00,4=44=0,S@4.00,40.00	15.62	LOW,LOW,100.00,5=32=0,S@5.00,27.00
	AthALTA0006839-2/2	chr2:12427689-12427959	7	chr2:12428241,12427689-12427952+12427959	Alt3	22.57	LOW,LOW,100.00,9=39=0,S@8.80,30.20	24.46	LOW,LOW,100.00,7=28=0,S@6.85,21.15	22.08	LOW,LOW,100.00,7=31=0,S@6.84,24.16	34.34	OK,OK,100.00,21=60=0,S@20.60,39.40	35.05	OK,OK,100.00,20=56=0,S@19.63,36.37	41.11	OK,OK,100.00,23=55=0,S@22.61,32.39	42.88	LOW,LOW,100.00,17=39=0,S@16.72,22.28
APUM2	AthALTA0022294-2/2	chr2:12547448-12548093	16	chr2:12548181,12547448-12548077+12548093	Alt3	54.13	SOK,SOK,100.00,71=126=0,S@68.20,57.80	54.15	SOK,SOK,100.00,62=110=0,S@59.56,50.44	60.72	SOK,SOK,100.00,93=148=0,S@89.87,58.13	64.92	SOK,SOK,100.00,83=124=0,S@80.50,43.50	71.59	SOK,SOK,100.00,124=169=0,S@120.99,48.01	56.24	SOK,SOK,100.00,97=166=0,S@93.36,72.64	71.64	SOK,SOK,100.00,105=143=0,S@102.45,40.55
CDC6	AthALTA0025616-3/3	chr2:12690381-12690455	25	chr2:12690295,12690406+12690385+12690381-12690455	Alt3	73.28	LOW,LOW,100.00,24=25=0,S@18.32,6.68	100.00	N,N,100.00,11=11=0,S@11.00,0.00	100.00	VLOW,VLOW,100.00,23=23=0,S@23.00,0.00	100.00	LOW,LOW,100.00,35=35=0,S@35.00,0.00	95.83	VLOW,VLOW,100.00,23=24=0,S@23.00,1.00	86.36	VLOW,VLOW,100.00,19=22=0,S@19.00,3.00	100.00	VLOW,VLOW,100.00,19=19=0,S@19.00,0.00
THG1	AthALTA0043990-2/3	chr2:13444651-13444837	19	chr2:13445780,13444651-13444818+13444837+13444883	Alt3	41.92	VLOW,LOW,100.00,11=24=0,S@10.06,13.94	34.52	N,N,100.00,3=8=0,S@2.76,5.24	55.60	OK,OK,100.00,26=44=0,S@24.46,19.54	48.97	VLOW,VLOW,100.00,9=17=0,S@8.32,8.68	63.04	VLOW,VLOW,100.00,12=18=0,S@11.35,6.65	46.03	N,N,100.00,4=8=0,S@3.68,4.32	75.61	VLOW,VLOW,100.00,14=18=0,S@13.61,4.39
HSP70-8	AthALTA0031982-1/2	chr2:-13653414	0	chr2:13653747,-13653414+13653427	Alt3	73.33	VLOW,VLOW,100.00,11=15=0,S@11.00,4.00	72.00	LOW,LOW,100.00,18=25=0,S@18.00,7.00	84.00	LOW,LOW,100.00,21=25=0,S@21.00,4.00	87.50	VLOW,VLOW,100.00,14=16=0,S@14.00,2.00	100.00	N,N,100.00,10=10=0,S@10.00,0.00	60.00	N,N,100.00,3=5=0,S@3.00,2.00	90.48	VLOW,VLOW,100.00,19=21=0,S@19.00,2.00
	AthALTA0007082-3/4	chr2:13763597-13763781	46	chr2:13763908,13763597-13763735+13763759+13763781+13763784	Alt3	11.11	VLOW,VLOW,100.00,2=18=0,S@2.00,16.00	42.11	VLOW,VLOW,100.00,8=19=0,S@8.00,11.00	20.00	N,N,100.00,1=5=0,S@1.00,4.00	54.55	N,N,100.00,6=11=0,S@6.00,5.00	57.14	VLOW,VLOW,100.00,12=21=0,S@12.00,9.00	0.00	N,N,100.00,0=3=0,S@0.00,3.00	60.00	VLOW,VLOW,100.00,9=15=0,S@9.00,6.00
